232,4487,-4386,-4458
233,4167,-4148,-4146
234,3898,-3998,-3879
235,3653,-3920,-3592
236,3399,-3834,-3268
237,3119,-3734,-2932
238,2875,-3648,-2581
239,2652,-3539,-2227
240,2422,-3406,-1898
241,2195,-3302,-1552
242,1972,-3219,-1224
243,1723,-3136,-917
244,1465,-3095,-634
245,1157,-3042,-316
246,877,-3066,-8
247,720,-3105,300
248,720,-3105,300
249,655,-3114,534
250,541,-3140,744
251,358,-3185,954
252,171,-3211,1106
253,-31,-3183,1214
254,-362,-3116,1325
255,-768,-3043,1445
256,-1128,-2936,1608
257,-1456,-2806,1807
258,-1790,-2685,1959
259,-2023,-2604,2106
260,-2012,-2509,2331
261,-1879,-2385,2508
262,-1856,-2370,2650
263,-1785,-2315,2859
264,-1782,-2217,2957
265,-1993,-2152,2959
266,-2172,-2116,2920
267,-2261,-2098,2793
268,-2307,-2135,2591
269,-2187,-2223,2452
270,-1916,-2312,2264
271,-1716,-2432,2079
272,-1520,-2542,1927
273,-1306,-2619,1811
274,-1073,-2681,1710
275,-808,-2680,1685
276,-603,-2675,1673
277,-572,-2726,1638
278,-511,-2760,1598
279,-431,-2777,1628
280,-331,-2831,1679
281,-128,-2881,1697
282,100,-2980,1634
283,314,-3082,1535
284,530,-3168,1457
285,742,-3247,1374
286,967,-3351,1144
287,1338,-3506,791
288,1957,-3725,390
289,2802,-4094,94
290,3713,-4569,-322
291,4315,-5037,-718
292,4219,-5358,-906
293,3674,-5798,-1303
294,3735,-6226,-1464
295,4819,-6415,-1552
296,5929,-6516,-1656
297,6592,-6538,-1846
298,6931,-6558,-2196
299,7153,-6589,-2599
300,7352,-6574,-2950
301,7548,-6394,-3191
302,7670,-6042,-3348
303,7705,-5596,-3405
304,7615,-5155,-3383
305,7396,-4768,-3328
306,7136,-4408,-3290
307,6861,-4107,-3265
308,6609,-3804,-3230
309,6385,-3508,-3197
310,6180,-3216,-3153
311,5935,-2896,-3096
312,5668,-2572,-3023
313,5385,-2269,-2967
314,5103,-1990,-2883
315,4856,-1722,-2793
316,4629,-1473,-2711
317,4369,-1258,-2597
318,4369,-1258,-2597
319,4119,-1055,-2494
320,3883,-863,-2373
321,3635,-684,-2259
322,3390,-475,-2136
323,3147,-286,-1991
324,2931,-127,-1892
325,2693,58,-1777
326,2457,204,-1698
327,2234,307,-1619
328,2035,432,-1514
329,1849,603,-1440
330,1666,719,-1367
331,1494,800,-1275
332,1335,953,-1182
333,1142,1106,-1115
334,1011,1207,-1060
335,903,1373,-1020
336,781,1562,-972
337,635,1731,-938
338,511,1855,-929
339,336,1947,-881
340,195,2083,-878
341,71,2154,-893
342,-2,2242,-860
343,-87,2270,-868
344,-149,2262,-867
345,-196,2284,-833
346,-287,2260,-839
347,-389,2170,-888
348,-463,2148,-837
349,-504,2157,-782
350,-495,2104,-788
351,-526,2069,-705
352,-563,2100,-614
353,-594,2128,-560
354,-514,2124,-476
355,-458,2098,-331
