177,1884,580,-343
178,1872,599,-325
179,1877,617,-330
180,1882,629,-341
181,1885,635,-348
182,1892,642,-380
183,1877,662,-386
184,1860,661,-397
185,1851,682,-399
186,1820,707,-400
187,1822,724,-418
188,1845,722,-413
189,1842,725,-426
190,1826,725,-428
191,1826,716,-419
192,1831,722,-421
193,1829,729,-416
194,1815,727,-418
195,1819,729,-413
196,1808,744,-396
197,1799,757,-373
198,1830,771,-357
199,1861,786,-328
200,1871,794,-313
201,1869,796,-292
202,1849,800,-275
203,1821,783,-264
204,1810,765,-271
205,1857,756,-258
206,1939,759,-240
207,1997,755,-237
208,1985,729,-212
209,1967,698,-186
210,1965,688,-153
211,1993,681,-135
212,2018,685,-145
213,2027,696,-130
214,2017,744,-103
215,2029,812,-48
216,2088,852,5
217,2167,870,48
218,2218,883,65
219,2246,871,77
220,2270,825,75
221,2261,801,37
222,2262,823,81
223,2398,832,144
224,2547,833,180
225,2499,830,246
226,2389,804,287
227,2441,771,295
228,2571,757,288
229,2639,764,290
230,2625,756,321
231,2557,748,331
232,2505,744,334
233,2455,721,324
234,2388,714,293
235,2282,703,249
236,2214,699,235
237,2237,696,239
238,2259,703,210
239,2201,699,176
240,2120,710,134
241,2061,733,111
242,2083,739,135
243,2083,739,135
244,2121,744,165
245,2138,770,212
246,2153,767,251
247,2165,763,288
248,2140,764,315
249,2090,748,354
250,2025,746,376
251,2011,729,404
252,2043,699,423
253,2050,665,432
254,2035,630,437
255,1966,601,420
256,1902,561,412
257,1885,521,387
258,1899,483,346
259,1899,448,325
260,1883,436,290
261,1814,435,264
262,1691,430,269
263,1587,420,301
264,1563,385,330
265,1592,366,350
266,1621,346,389
267,1631,329,405
268,1638,334,418
269,1635,331,424
270,1622,322,397
271,1572,303,373
272,1484,284,354
273,1434,288,370
274,1476,292,357
275,1562,304,331
276,1583,305,311
277,1539,311,284
278,1491,313,244
279,1434,299,215
280,1409,296,211
281,1393,286,204
282,1408,269,214
283,1460,260,262
284,1536,251,340
285,1608,238,427
286,1684,238,525
287,1709,220,614
288,1654,200,665
289,1603,169,692
290,1611,148,699
291,1687,127,711
292,1764,95,718
293,1779,65,731
294,1738,35,754
295,1700,5,808
296,1738,-10,925
297,1872,-6,1028
298,2015,3,1090
299,2062,27,1134
300,2041,37,1157
301,2001,40,1162
302,1963,16,1155
303,1976,-4,1135
304,2007,-28,1088
305,2044,-49,1042
306,2049,-69,1003
307,2028,-81,968
308,2020,-92,955
309,2016,-91,924
310,1991,-85,866
311,2005,-83,854
312,2072,-66,877
313,2072,-66,877
